Song,Artist,Album,Cover,Duration,Bitrate,Popularity,MV Link,Paid,Release Date
Naked,MALIA,Late Bloomer,http://p1.music.126.net/AiSY5ucNgSZAePLMMryZWg==/109951163470046137.jpg,2:47,804 kbps,85,,是,2017-12-19
Serenade,舵Diverseddie,Serenade,http://p1.music.126.net/NNkdR1TMCaft2Vdyc_wmaQ==/109951164457183744.jpg,2:53,1411 kbps,100,,是,2019-11-15
death bed - bonus remix,Powfu / beabadoobee / blink-182,poems of the past,http://p1.music.126.net/4hezQRuV_br4qjGL1pCkAA==/109951165989011341.jpg,2:13,1563 kbps,90,,是,2020-05-29
right here,keshi,right here,http://p1.music.126.net/OpoB37BRTrTLZxshUhQ12Q==/109951164383585906.jpg,3:14,874 kbps,95,https://music.163.com/mv?id=10896273,是,2019-09-24
Dancing in My Room,347aidan,Dancing in My Room,http://p2.music.126.net/OO-Qe0UoRujDObQ0OpX5xA==/109951165990466235.jpg,3:00,1381 kbps,100,https://music.163.com/mv?id=14234173,是,2020-10-26
Can't Be Me,Russ,Can't Be Me,http://p1.music.126.net/x4DNIl5wHv1K_qdLkDSezQ==/109951165146977838.jpg,2:31,1339 kbps,85,,是,2020-07-24
贤良,苏阳,贤良,http://p2.music.126.net/p8UkDmdkrehigdgFodkXJg==/109951170145093281.jpg,5:36,881 kbps,95,,是,2006-12-02
Sweater,Spencer Sutherland,Sweater,http://p1.music.126.net/HQ-OsuvoY_HBfFHgEXPYcA==/109951163861291905.jpg,2:27,1411 kbps,65,https://music.163.com/mv?id=10884427,是,2019-01-25
送别 (Live),郑闯 / 夏小桐,我的音乐你听吗 第4期,http://p1.music.126.net/JIFfCB5M_Ju1SLrO4TaU4A==/109951168901779706.jpg,5:42,811 kbps,70,,是,2021-09-19
遇见你的时候所有星星都落到我头上,高姗,遇见你的时候所有星星都落到我头上,http://p1.music.126.net/yb4HHSDFTOEhsd5KAqhNzQ==/3240260770208389.jpg,3:48,870 kbps,100,,是,2015-01-15
Nothing,Bruno Major,Nothing,http://p1.music.126.net/7xdYy7EyBGXXC66h80bGgQ==/109951168011071257.jpg,2:42,571 kbps,100,https://music.163.com/mv?id=10892064,是,2019-09-12
you belong to me,Carla Bruni,Comme si de rien n'etait,http://p1.music.126.net/nS6aLT4e2clsgHSUZtKbbA==/770757651078781.jpg,3:01,783 kbps,100,,是,2012-06-01
Why,Dominic Fike,What Could Possibly Go Wrong,http://p1.music.126.net/tuH9hOX7OPLNTbS93TgvyQ==/109951165176840480.jpg,2:19,1540 kbps,100,https://music.163.com/mv?id=10972392,是,2020-07-31
那是你离开了北京的生活,薛之谦,怪咖,http://p1.music.126.net/TOkRGd59o3hAOKsnMMmMMA==/109951163755246383.jpg,4:28,749 kbps,100,https://music.163.com/mv?id=10851234,是,2018-06-08
λ,尚先生,白日梦,http://p2.music.126.net/zfc_2vIsxXl201TikNuQPA==/109951165914548002.jpg,3:31,1291 kbps,90,,是,2015-10-15
As Long As You Love Me,Tiffany Alvord,I've Got It Covered Vol. 3,http://p2.music.126.net/io88_a3uKa3sKS5_kOjzWQ==/5750445813348531.jpg,3:20,1684 kbps,70,,否,2013-08-13
"i hate u, i love u (feat. olivia o'brien)",gnash / Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)",http://p1.music.126.net/4YyVTPFyecbfxQyq7pWolw==/109951166543213004.jpg,3:46,687 kbps,100,https://music.163.com/mv?id=5322398,是,2016-02-17
Don't Let Me Down,The Chainsmokers / Daya,Don't Let Me Down,http://p1.music.126.net/aLWfTV7DElqayxbxO8ULGw==/109951169034024852.jpg,3:28,1607 kbps,100,https://music.163.com/mv?id=5323117,是,2016-02-05
Sailboats,Sky Sailing,An Airplane Carried Me To Bed,http://p1.music.126.net/2LqyZjz5YHv82LYerfJx3Q==/109951168679733930.jpg,4:19,906 kbps,90,,是,2010-01-01
iSpy (feat. Lil Yachty),KYLE / Lil Yachty,iSpy (feat. Lil Yachty),http://p1.music.126.net/pnmxrzxe3ckduPyhlAaymw==/109951166562832882.jpg,4:13,865 kbps,90,https://music.163.com/mv?id=5443811,是,2016-12-02
Royals,Lorde,Royals,http://p2.music.126.net/ibW9gvBVXmu04d_DSHp3Ig==/18880813672421154.jpg,3:10,862 kbps,100,https://music.163.com/mv?id=344010,是,2013-09-06
Mine,Tincup,Mine,http://p1.music.126.net/jrTpbLEFvDnkbXgMiGc1dw==/109951169260853094.jpg,3:22,859 kbps,90,,是,2016-03-22
Across the Uneeverse,My-Q,Across the Uneeverse,http://p1.music.126.net/3uY2ESLL4UaqMv1vKCK2Ww==/109951168126723597.jpg,4:06,1619 kbps,90,,是,2015-07-01
She Comes Running (2007 Remaster),Lee Hazlewood,Love and Other Crimes,http://p1.music.126.net/3nXxhcHEzTkdHSj9WB1NeA==/109951170098696075.jpg,2:13,727 kbps,5,,是,未知日期
Stand By Your Man,Carla Bruni,French Touch,http://p2.music.126.net/1okdQIRiCGoqq7HUe8v__A==/18358545649763267.jpg,2:43,710 kbps,95,,是,2017-10-06
天空之城(钢琴版),郭宴,雁归,http://p1.music.126.net/0C5-fhOyuLq1iwoI5OaOTA==/28587302336723.jpg,4:19,371 kbps,25,,否,2011-01-01
Million Years Ago,Adele,25,http://p2.music.126.net/GBjkPuYOKYFaXtEjA6ULqA==/109951168110232012.jpg,3:47,750 kbps,100,https://music.163.com/mv?id=504880,是,2015-11-20
Silver Linings,Leo Kalyan,Silver Linings,http://p1.music.126.net/zp-ggLxAi0OVK8YipF6cDQ==/3286440255426116.jpg,3:53,815 kbps,75,,是,2015-07-24
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),http://p2.music.126.net/AJoQeNaVBizZcRQ706DD1w==/109951168544414132.jpg,4:41,837 kbps,100,https://music.163.com/mv?id=349239,是,2014-06-20
橘子,TizzyT / 洪一诺,你最好知道,http://p1.music.126.net/I-NjvZ6EXOmNyo3q9fYRKw==/109951167473885750.jpg,3:33,831 kbps,100,,是,未知日期
记得,林俊杰,她说 概念自选辑,http://p2.music.126.net/EtbYjpw06KOdTxisgUs4-w==/109951168852557941.jpg,4:47,1086 kbps,100,https://music.163.com/mv?id=522366,是,2010-12-08
你就不要想起我,简弘亦,你就不要想起我,http://p1.music.126.net/m9psWT0vrunTgxY3NeEXUg==/109951164694992804.jpg,4:31,1411 kbps,100,,是,2016-12-26
The Simple Things,Michael Carreon,The Simple Things,http://p1.music.126.net/oKbxilAdXhc53iiDgDF6GA==/1367792476300105.jpg,4:23,962 kbps,95,,是,2016-06-06
우리 얘기 좀 해,Lillo / 제이형 / 지현,우리 얘기 좀 해,http://p1.music.126.net/4PEO92IxtPBD2MVLtPBdlA==/6062707116251917.jpg,3:50,1621 kbps,100,,是,2014-07-11
BOOMBAYAH,BLACKPINK,SQUARE ONE,http://p2.music.126.net/Rf8ayEWGM2SY7rY68Z0B0w==/109951167720812914.jpg,4:00,1105 kbps,100,https://music.163.com/mv?id=5350068,是,2016-08-08
Man On The Moon,Powers,Man On The Moon,http://p2.music.126.net/TUn5OkHnZJflHd-QsDbIhw==/109951168251301591.jpg,4:23,1663 kbps,30,,是,2017-03-17
Dirty Paws,Of Monsters And Men,The Secret Life Of Walter Mitty (Music From And Inspired By The Motion Picture),http://p1.music.126.net/yU_pXqN1KAjjNdKa_fXveQ==/2534374302309080.jpg,4:38,976 kbps,100,https://music.163.com/mv?id=5354050,是,2013-12-17
陌生人,蔡健雅,陌生人,http://p1.music.126.net/9d2wwkv7BqdGZVHOAbHBVA==/109951169603869280.jpg,3:54,822 kbps,100,,是,2003-06-01
Free,Kidswaste,Free,http://p1.music.126.net/59gpMRF4x_FjhrebhGutXQ==/109951167480943404.jpg,4:13,1497 kbps,90,,是,2016-06-29
In Time,Talos,In Time,http://p1.music.126.net/68LfoUfGH9HxnTqLSYqgBg==/109951163563430714.jpg,4:35,748 kbps,90,https://music.163.com/mv?id=5333024,是,2015-10-25
Chaperone,Hurts,Desire,http://p2.music.126.net/kyEZw4vDvlywcllEt1Vf9g==/109951165979907308.jpg,2:51,735 kbps,95,https://music.163.com/mv?id=5680021,是,2017-09-29
계절 끝 (잠 못 드는 밤 2),Rocoberry,계절 끝 (잠 못 드는 밤 2),http://p1.music.126.net/tFWwSNJA5WPN8lK_17Rq4Q==/109951170151363842.jpg,3:45,964 kbps,95,,是,2016-01-21
丢了你,井胧,丢了你,http://p1.music.126.net/zYIadX_Prawn3nMTRA9tOQ==/109951164928052888.jpg,4:37,873 kbps,100,,是,未知日期
Do It,The Bosshoss,Flames Of Fame,http://p2.music.126.net/3FEXx6WM8ZyHtgcQp_6pLQ==/109951166021457771.jpg,3:41,968 kbps,100,https://music.163.com/mv?id=14222015,是,2013-01-01
她,不可撤销乐队,她 千鸟,http://p2.music.126.net/4x2X7W_VGHQeHoMR4a3Wbw==/3227066628477266.jpg,4:31,855 kbps,100,https://music.163.com/mv?id=382241,是,2014-10-14
你在终点等我,王菲,你在终点等我,http://p1.music.126.net/ddhcDeGSl9VhXJLfOsNDEA==/3433774824740403.jpg,4:45,920 kbps,100,https://music.163.com/mv?id=5362420,是,2016-09-24
山脚,Jony J,24時·Am,http://p2.music.126.net/JMdgOVaMn2myYZy1TIKPNA==/109951169213952419.jpg,3:16,962 kbps,100,,是,2021-10-22
Back To Black,Amy Winehouse,Greatest Hits,http://p1.music.126.net/J8FJq-WzrfcFM3mc_97TPQ==/862017116221752.jpg,4:00,1540 kbps,75,https://music.163.com/mv?id=32988,是,2008-08-01
I'm Fine,Emily Hearn,Red Balloon,http://p2.music.126.net/voCrt2vLpxJR7MWM8teAOw==/109951169377989021.jpg,3:36,859 kbps,90,,是,2012-01-31
Earthboy,Vern Matz,Minnesota Dancing,http://p2.music.126.net/aH9IpJUlIQeyBCk_CbpuAA==/109951168044987758.jpg,3:07,885 kbps,90,,是,2020-11-18
Overtime,Brika,Voice Memos,http://p1.music.126.net/UDOlj-HAPv9QkM8TJasI5g==/6630055116929447.jpg,2:54,834 kbps,90,,否,2014-12-16
Swim,Alec Benjamin,Narrated For You,http://p1.music.126.net/sgov4rBs12EN8IkmQL1fYA==/109951163787355382.jpg,2:24,908 kbps,75,,是,2018-11-16
Butterfly,Jason Mraz,We Sing. We Dance. We Steal Things.,http://p1.music.126.net/cFCGGoEHW7uDiCN0uNcXIQ==/109951166007196945.jpg,4:59,924 kbps,65,https://music.163.com/mv?id=5482116,是,2008-05-12
Blame You,眠 / Lopu$,Blame You,http://p2.music.126.net/r3LCLeEgIa3dgG6QdlRoLA==/109951163015593837.jpg,3:28,910 kbps,100,,否,2017-08-31
天真的橡皮,王小帅,天真的橡皮,http://p1.music.126.net/DhI6B7_fqYGwd96QFp9IDA==/109951170525986762.jpg,4:11,964 kbps,100,,是,2025-02-28
天真的橡皮（DJ版）,浪子康 / 地主的哈士奇,天真的橡皮,http://p1.music.126.net/N8ePwayAdocvuwRYbHMX8w==/109951170151901071.jpg,7:13,1143 kbps,100,,否,未知日期
Start From The Bottom,MC HotDog 热狗,脏艺术家,http://p2.music.126.net/TBKCGkT2deMpO8WtE1BM6Q==/109951169159480228.jpg,2:16,954 kbps,95,https://music.163.com/mv?id=14689687,是,2023-12-15
很难,张震岳,OK,http://p2.music.126.net/N61oLy0iLfEkZTHD2j87iA==/18693896697392706.jpg,4:22,894 kbps,100,https://music.163.com/mv?id=10929989,是,2007-07-01
The Message (Instrumental Version),Dr. Dre,2001 Instrumental,http://p2.music.126.net/1VjyKELtB5OUsprl6FvoVQ==/18790653718735891.jpg,5:07,843 kbps,95,,是,1999-01-01
西湖水 (官方beat),Udigg / CashTrippy / mac ova seas / 李大奔BENZO,西湖水,http://p2.music.126.net/msVHuHdVqPNpc30re9KR9g==/109951167223386502.jpg,3:18,810 kbps,100,,是,2022-04-07
Sukidayo -Hyakkai No Koukai- (English Version),Che'Nelle,Sukidayo ~Hyakkai No Koukai~ (English Ver.),http://p2.music.126.net/I7SwJfJfFYojf3sIef4hgg==/109951169800224290.jpg,5:03,951 kbps,100,,是,2014-05-28
Gyutan,SuperH4H4,"You Groove You Lose, Vol. 1",http://p1.music.126.net/eCTHGAZbVv-vs9L3-vrIQQ==/109951169794543240.jpg,3:24,642 kbps,95,,是,2024-07-18
空山•野马,Bethybai / AT.H,电子空山,http://p2.music.126.net/pc_OzU51Bz5UL9zwwzzipw==/109951169683411180.jpg,3:32,1525 kbps,100,,是,未知日期
Keep Falling,DJ Okawari / Giovanca,Compass,http://p1.music.126.net/VahXffPWaShGlJmnow1hdw==/109951168772687927.jpg,4:30,1676 kbps,80,,是,2017-01-11
Slapocalypse,Charles Berthoud / Giacomo Turra,Slapocalypse,http://p2.music.126.net/LDydF10fFVHAZ6K-knNpnw==/109951169489679495.jpg,2:12,1578 kbps,100,,是,2024-04-05
Elevated,Charles Berthoud,Elevated,http://p2.music.126.net/4bfRO4UK0JuTE833e7Yo-A==/109951168921586502.jpg,2:00,1539 kbps,90,,是,2023-10-05
Epic sport rock,MagpieMusic,"Roaylty Free Sport Rock, Vol. 7",http://p2.music.126.net/xSnrMLNZ-sv1_TrXQ2ixtg==/109951169851033927.jpg,2:05,851 kbps,100,,是,2024-08-06
Still D.R.E.,Dr. Dre / Snoop Dogg,2001,http://p1.music.126.net/OiwDGuHkmoI5dItkelAepQ==/109951167713170810.jpg,4:30,1676 kbps,100,,是,2008-01-01
I Want It That Way,Backstreet Boys,Playlist: The Very Best Of Backstreet Boys,http://p1.music.126.net/w8loUpaCONsboYL7YZqi1A==/18344251998298994.jpg,3:33,1693 kbps,100,https://music.163.com/mv?id=14420911,是,2011-10-24
Return To Earth,deadsouls,Return to Earth,http://p1.music.126.net/t-Lo1BevH4pWsdM_bOid9Q==/109951169357637034.jpg,2:15,1695 kbps,100,,是,2022-07-22
Arrows,She Her Her Hers,Arrows,http://p2.music.126.net/TxuCg67aOd4BIlX7N9VuAw==/109951166161964011.jpg,4:26,824 kbps,100,,是,2021-07-14
Got It (PHONK),Lunak / VZEUS,Got It,http://p1.music.126.net/1Mzs04Qi_k9KY3RvZaggSw==/109951170525558620.jpg,2:10,1686 kbps,100,,是,2025-02-28
Niten Doraku,Sprnova,Niten Doraku,http://p1.music.126.net/Q8Hw8ekO32EVZI7VN0nX2g==/109951167624428427.jpg,2:38,804 kbps,100,,是,2022-01-28
来电瑶,法老 / By2,来电瑶,http://p2.music.126.net/0bXF0SAw_D7VdvtPBMyFkg==/109951170683122474.jpg,3:40,1061 kbps,100,https://music.163.com/mv?id=22732675,是,未知日期
Highs 2 Lows,Nujabes / Cise Starr,Metaphorical Music,http://p2.music.126.net/FDYtrWnuqBzv3S6mRgCQJA==/109951165541342809.jpg,4:37,853 kbps,80,,是,2003-08-21
群丁,秋桔 / ShadowVap / b秘封厨,群丁（群青）,http://p2.music.126.net/f-V6_pLGYD2JkFMjSMyqUQ==/109951170109935964.jpg,4:06,1718 kbps,95,,否,未知日期
雨季不再来,黎瑞恩,雨季不再来,http://p2.music.126.net/ou1mEGC3xX6jb3HpOMDfdQ==/109951168883642201.jpg,5:12,1562 kbps,100,,是,1992-10-02
IHFOJASF (1),走过,483202,http://p2.music.126.net/JqxB7q9YWYtYzxe-HdEcpw==/109951167198443727.jpg,3:30,402 kbps,10,,是,未知日期
Ghost Face (鬼脸) (LIVE版),法老,中国说唱巅峰对决2023 第一期,http://p1.music.126.net/stWn-jW79HHUxV-FY7-yXg==/109951168592980662.jpg,3:38,1010 kbps,100,,是,2023-05-06
深海,刘森,华北浪革,http://p2.music.126.net/rDC1vd4RnngyLPmbjeffPg==/109951167261752746.jpg,4:54,810 kbps,100,,是,2021-07-11
阻止你哭泣,约瑟翰庞麦郎,旧金属,http://p1.music.126.net/2DR4kDgKlVd0nj3TxGm2-g==/2533274791468293.jpg,3:40,711 kbps,95,,是,2014-10-28
our love feat. mabanua,西原健一郎 / Mabanua,Sincerely... (2024 Wax Alchemy Remastered),http://p2.music.126.net/oEuQ80ia9rmShsyFk3l6cw==/109951170088169325.jpg,4:55,981 kbps,80,,是,未知日期
Leeloo,SWERODO,Leeloo,http://p1.music.126.net/eUHowfNoO17uvzUNb6hkEQ==/109951165904770193.jpg,3:09,934 kbps,90,,是,2021-04-23
undertones,hi jude / Towerz / edelwize,The Shallows,http://p2.music.126.net/H6pC2MaoOyOuRE6zWtdtfQ==/109951168703538446.jpg,3:17,1277 kbps,70,,是,2021-06-27
Spring In La Coruña,Ruck P,Chillhop Essentials Spring 2018,http://p1.music.126.net/dA-cGXciS4YX0oeMY6FfvA==/109951165069848940.jpg,3:37,2116 kbps,90,,否,2018-03-20
algia,sAr,the first 7,http://p1.music.126.net/ojGgrjGMdHYc8hJj5s5hGw==/109951163938923442.jpg,5:05,1533 kbps,50,,是,未知日期
Setsuna,Kirara Magic / Xomu / Justin Klyvis,Setsuna,http://p2.music.126.net/U9XGKKKgVg8DVlkGrmWgzQ==/109951165248232471.jpg,2:55,1782 kbps,90,,是,未知日期
have a nice dream,ichika Nito,forn,http://p1.music.126.net/7w-PsRWHsTYAT93HZMkUJw==/109951163020464240.jpg,3:06,1388 kbps,25,,否,2017-01-31
金漠纪闻,柳青瑶,天命王权,http://p2.music.126.net/A07hUj6_Dm5SfZJKwhWD5A==/109951167482181523.jpg,2:52,862 kbps,55,https://music.163.com/mv?id=14532017,是,未知日期
千星谷（Thousand Stars Valley）,李化禹,千星谷 (Thousand Stars Valley),http://p1.music.126.net/U1ZSs9zLnbYbi2hTGCAPVQ==/109951166153573195.jpg,4:04,1699 kbps,15,,是,2021-07-10
许镜清-天府乐（李化禹 Remix）,李化禹,天府乐（李化禹Remix）,http://p1.music.126.net/x65hP26hbwJ6Y68wKUesMw==/109951163821823909.jpg,3:31,1006 kbps,25,,否,2019-01-28
高山歌,李化禹,高山歌,http://p1.music.126.net/dlzjw4ph8tMljEQ6U4n6kw==/109951167840635742.jpg,3:30,1025 kbps,70,,是,2022-09-09
沃野,李化禹,无穷行,http://p1.music.126.net/BTPiR_X9GJ8q_IcKOXJniw==/109951164547389412.jpg,4:42,2116 kbps,70,,是,2019-12-15
浑天,李化禹,浑天,http://p2.music.126.net/QGyKg1po9nbl9dJuwLgKEw==/109951169826907964.jpg,3:22,961 kbps,85,,是,2024-08-06
One Dream,Uyama Hiroto,a son of the sun,http://p1.music.126.net/JbjgffoJ2Sqr14fU7MpCYA==/109951165618385206.jpg,4:13,812 kbps,80,,是,2008-07-16
South Side,Uyama Hiroto / Shing02,freeform jazz,http://p1.music.126.net/vOLC4iNOcsfoImWpGujW2A==/109951168941863268.jpg,4:44,958 kbps,75,https://music.163.com/mv?id=10858639,是,2016-11-02
Loving You (feat. Marter),Uyama Hiroto / MARTER,Breath of Love,http://p2.music.126.net/8Zb47uFocz9SIIHaDNNhxA==/109951169770398681.jpg,2:39,828 kbps,70,,是,2024-08-10
Modal Soul,Nujabes / Uyama Hiroto,Modal Soul,http://p2.music.126.net/WLvdvrEImEi_sw-fm88B3Q==/109951165498611137.jpg,4:41,1556 kbps,75,,是,2005-11-11
Homeward Journey,Uyama Hiroto,Modal Soul Classics II Dedicated To Nujabes,http://p1.music.126.net/F-4yORN_NxRQ8DxlggLaNw==/2440915813686084.jpg,5:31,848 kbps,80,,否,2010-01-01
Spiritual State,Nujabes / Uyama Hiroto,Kei Nishikori meets Nujabes,http://p2.music.126.net/eCwqkzO8s1sXQx2GO9dGlA==/109951165557621654.jpg,6:31,860 kbps,85,,是,2016-03-04
Vision Eyes,Uyama Hiroto,a son of the sun,http://p1.music.126.net/JbjgffoJ2Sqr14fU7MpCYA==/109951165618385206.jpg,4:03,742 kbps,90,,是,2008-07-16
Luv (Sic) Grand Finale Part 6,Nujabes / Shing02 / Uyama Hiroto,Luv (Sic) Grand Finale Part 6,http://p2.music.126.net/uj5hN4-LZAk27MZNSv1eWg==/2471702139289440.jpg,5:13,893 kbps,95,,否,2013-02-26
We Are Electric,Flying Steps / Engelhardt / Wittig / Engin-eer,Best Of Freestyle & Breakdance,http://p1.music.126.net/PWCJsUjYh05Gr3bl8GYwIw==/109951165793705029.jpg,3:28,1741 kbps,100,,是,2005-11-18
你不是真正的快乐 (Live),G.E.M.邓紫棋,我是歌手第二季 半决赛,http://p1.music.126.net/uq8Y-O1mSUSqv3zOW4sNCg==/5989039836716828.jpg,5:20,842 kbps,100,,是,2014-03-28
5:20AM,刀酱,5:20AM,http://p2.music.126.net/RjiI9yP2Fnxx5cxiTVCIrQ==/109951169318905148.jpg,2:41,879 kbps,100,,是,2024-02-08
碧空の行方,桑島法子,アニメ「薄桜鬼」「薄桜鬼 碧血録」 ボーカルベスト ~桜詠録~,http://p2.music.126.net/zPT17aI10jRMqQvwn2Ycug==/3282042209012644.jpg,4:01,916 kbps,70,,否,2012-10-10
Small Talk (feat. Moonessa),Max Oazo / Moonessa,Close to Me,http://p2.music.126.net/WeMHwNNpyI4adtJ1V4tMWg==/109951166463103124.jpg,3:40,1656 kbps,100,,是,未知日期
Airplane (feat. Moonessa),Max Oazo / Moonessa,Airplane (feat. Moonessa),http://p1.music.126.net/G3HhyaEH4tqF6nWdT64a6A==/109951168487273519.jpg,3:47,2570 kbps,100,,是,2020-05-22
Once Upon A Time (House Mix),Max Oazo / Moonessa,Once Upon A Time (Melodic House & Techno),http://p2.music.126.net/tyMdxKFIdPdc59zPGTuXuA==/109951169237097692.jpg,6:18,979 kbps,100,,是,2024-01-05
Ahead of Us,小瀬村晶,Proof of Us (Soundtrack to the FLAT STUDIO Short Film),http://p1.music.126.net/FWGUSBkMRM1ZXWRFm3qcpg==/109951168466553622.jpg,4:51,1354 kbps,100,,是,2023-03-31
時空のたもと,Taja,時空のたもと,http://p2.music.126.net/kHJdepVOBC7T98jWl7rpzw==/109951168640012790.jpg,4:38,845 kbps,10,,是,2020-02-02
Mars,Alexander 23,F2020,http://p1.music.126.net/0Bt-WXgnhu5lW0IOPcyyBA==/109951168162132823.jpg,2:33,778 kbps,15,https://music.163.com/mv?id=14237824,是,2020-12-18
Love Supreme (feat. Reinaria),Uyama Hiroto / Reinaria,Breath of Love,http://p2.music.126.net/8Zb47uFocz9SIIHaDNNhxA==/109951169770398681.jpg,4:04,790 kbps,95,,是,2024-08-10
おつかいメイドのひといき,狐の工作室,霧雨魔法洋菓子店,http://p1.music.126.net/86WAVn0vgWTDugmFaILaOA==/7992350023982400.jpg,2:53,795 kbps,45,,否,2013-12-30
You Never Know,Nieve,Playback,http://p1.music.126.net/uzwEYRRrgs_Uuc4gYYC6VQ==/109951168991586332.jpg,2:37,957 kbps,85,,是,2011-01-01
Beanie,Chezile,Beanie,http://p2.music.126.net/TZdKUqYY63SPLk6LpxIJQQ==/109951169470229841.jpg,2:12,880 kbps,100,,是,2023-11-28
process,TSUTCHIE,samurai champloo music record playlist,http://p1.music.126.net/TediDM9xIbbI2ibRWcuYyg==/109951170423372663.jpg,4:41,799 kbps,60,,是,2004-09-22
Lamp (feat. Nujabes),Haruka Nakamura / Nujabes,Free Soul Nujabes First Collection,http://p1.music.126.net/f21Q2NnHVWQDMTTyWpR8wg==/109951163720094373.jpg,6:34,831 kbps,75,,是,2014-12-17
Nostalgia,Iwamizu,Lonely,http://p2.music.126.net/bM4bjkX8zC6q1-SlkVcCqA==/109951168673923993.jpg,4:00,1539 kbps,95,,是,2023-06-13
Running Out Of Time,Incise,Daily Methods,http://p2.music.126.net/FLnip6Jtuo0VrXxTqBQ1IQ==/1799900534679113.jpg,3:08,928 kbps,90,,否,2010-06-22
shining Light (From ikkubaru),西原健一郎 / Ikkubaru,Sincerely...,http://p1.music.126.net/3Das9R-Uf8yrMxr843DUwA==/18530069464612689.jpg,4:52,957 kbps,80,,是,2016-12-14
81Summer,Uyama Hiroto,a son of the sun,http://p1.music.126.net/JbjgffoJ2Sqr14fU7MpCYA==/109951165618385206.jpg,4:02,787 kbps,75,,是,2008-07-16
阿妹你是哪到呢,林树豪,再现五十三,http://p1.music.126.net/-hEXLaJNIUXRP5NY8m3FAA==/109951169875324297.jpg,5:18,1608 kbps,90,,是,2024-08-15
Bad Apple!! (东方幻想乡),炒饭,二次元爵士 Demo集,http://p2.music.126.net/RiZIJqxCe3OUjm9elxBtxA==/109951168119682044.jpg,2:41,791 kbps,10,,否,未知日期
Secret Base（未闻花名）,炒饭,二次元爵士 Demo集,http://p1.music.126.net/RiZIJqxCe3OUjm9elxBtxA==/109951168119682044.jpg,5:24,698 kbps,10,,否,未知日期
花の塔 (リコリス・リコイル),炒饭,二次元律动 Anime Grooves Vol.2,http://p2.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,3:49,829 kbps,15,,否,未知日期
Bad Apple!! (東方幻想郷 ～ Lotus Land Story.),炒饭,二次元律动 Anime Grooves Vol.2,http://p2.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,2:42,882 kbps,20,,否,未知日期
星が泳ぐ (サマータイムレンダ),炒饭,二次元律动 Anime Grooves Vol.2,http://p2.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,3:35,871 kbps,15,,否,未知日期
I Really Want to Stay at Your House (Cyberpunk),炒饭,二次元律动 Anime Grooves Vol.2,http://p1.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,2:37,806 kbps,20,,否,未知日期
青春コンプレックス (ぼっち・ざ・ろっく！),炒饭,二次元律动 Anime Grooves Vol.2,http://p2.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,1:41,965 kbps,15,,否,未知日期
"Don't say ""Lazy"" (K-ON!)",炒饭,二次元律动 Anime Grooves Vol.2,http://p2.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,2:54,775 kbps,20,,否,未知日期
One Last Kiss (シン・エヴァンゲリオン劇場版 ),炒饭,二次元律动 Anime Grooves Vol.2,http://p2.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,3:07,894 kbps,20,,否,未知日期
KICK BACK (チェンソーマン),炒饭 / Nezok,二次元律动 Anime Grooves Vol.2,http://p2.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,3:08,942 kbps,20,,否,未知日期
ワールドイズマイン (Ryo),炒饭,二次元律动 Anime Grooves Vol.2,http://p1.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,2:25,812 kbps,15,,否,未知日期
INTERNET OVERDOSE (NEEDY STREAMER OVERLOAD),炒饭,二次元律动 Anime Grooves Vol.2,http://p1.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,2:41,1011 kbps,20,,否,未知日期
四季ノ唄 (Samurai Champloo),炒饭 / Himawari / 赤音羽,二次元律动 Anime Grooves Vol.2,http://p2.music.126.net/WGoNrRxpWPb3EiDKW-q4Lw==/109951168754904427.jpg,2:48,936 kbps,25,,否,未知日期
Beat laments the world,Nujabes,Metaphorical Music,http://p2.music.126.net/FDYtrWnuqBzv3S6mRgCQJA==/109951165541342809.jpg,4:23,768 kbps,85,,是,2003-08-21
Rollin' Rollin' (アーバンソウル),やけのはら,THIS NIGHT IS STILL YOUNG,http://p2.music.126.net/0_TatcD4iW3944bR9Y810w==/109951168772901482.jpg,8:24,815 kbps,75,,是,2010-08-04
外面有点冷 (Prod. by Soft Lipa),国蛋,Dr. Paper Vol.2 - Blue Dream,http://p1.music.126.net/l99k2pCpfzpU6kb3cLtuKQ==/5871392092646339.jpg,4:27,1543 kbps,95,,否,2013-03-24
Indian Summer feat. Banzo & Satbyeol,DJ Juice,IN YA MELLOW TONE 10,http://p2.music.126.net/aBJoZqcaW2zactuRagtbfQ==/109951168475800385.jpg,3:22,858 kbps,90,,是,2014-09-10
